SPEC_ID,BPT,WHAN,HgF_g,HgF_er_g,HgF_cont_g,Hg_SDSS,Hg_er_SDSS,Hg_cont_SDSS,Hg_cont_err_SDSS,HA_g,HA_er_g,HA_cont_g,HA_SDSS,HA_er_SDSS,HA_cont_SDSS,HA_cont_err_SDSS,GALRE_i,GALREERR_i
344584497708165120,SFXY,SF,78.98294,18.297209,79.22262,130.5464,3.3948274,28.855272,1.3595651,3096.5056,30.057226,73.20034,1083.7198,9.561354,25.319134,0.6868582,2.772071,0.1269894
344588345998862336,AGNX,RG,5.3224344,14.998871,26.489532,4.7633915,1.782197,8.191587,0.9088445,-43.33472,11.482305,39.67298,9.100756,1.7860682,11.286854,0.55330676,2.7141695,0.1137684
344590819900024832,SFX,wAGN,-61.19875,13.52723,31.502901,10.395754,2.099703,12.789706,1.0222211,149.58873,12.281228,35.82893,88.173805,2.9871445,13.8005085,0.61459386,1.2230103,0.0367815
344591094777931776,SFXY,SF,-75.17233,20.496983,65.73246,54.51602,2.8290887,19.972734,1.2550229,1979.0482,26.570864,61.112854,569.1537,6.4027348,17.906794,1.4996173,31.938274,10.435911
344598516481419264,SFXY,SF,-53.93005,16.940472,43.45303,33.15887,2.4543357,13.912607,0.926996,1017.2515,14.609217,39.47593,310.61813,3.7324805,12.326636,0.6778895,3.513735,0.2378424
344599066237233152,AGNX,LLR,85.55181,21.444548,56.535892,6.3547897,2.3929327,13.3975525,0.7918353,-12.385728,18.172926,87.362076,18.450575,2.9760175,19.033451,0.99116045,13.16198,0.8656365
344609786475603968,SFX,sAGN,18.873562,14.394289,33.37673,15.46557,2.3290431,10.791801,0.9118492,515.76587,13.995918,47.93408,164.16312,3.603675,15.027015,1.3274802,2.3400831,0.0852246
344610336231417856,UNCX,RG,45.642292,11.291075,20.250416,-1.8118008,2.1586056,8.034947,0.8179787,-70.704025,11.365203,33.63819,0.5475715,2.9262998,12.163564,0.62613374,1.5697395,0.0387138
344610885987231744,SFX,wAGN,17.036705,14.447963,28.85252,11.752456,2.1874144,8.751011,1.0135182,242.7393,12.387345,41.23674,82.18841,2.8905385,11.683577,1.5611774,5.691708,0.6819663
344616383545370624,AGNX,LLR,-6.058622,16.598751,29.984676,2.1303818,2.2448332,7.9042783,0.99784505,-5.6634502,13.873119,54.064793,18.787882,3.0852013,14.029446,0.9943855,2.7760372,0.0971574
344619407202347008,UNCX,ELR,12.1333,15.6626,31.648077,5.093102,2.2736197,8.799905,0.74654436,167.90887,14.716438,60.602104,64.94426,3.4426908,16.162865,1.4747044,3.3293529,0.0785124
344620506713974784,UNCX,RG,11.218014,13.044745,16.640385,2.1216977,1.4486485,5.193461,0.7234193,-37.340076,7.80098,28.485926,9.0474415,1.3755974,8.302477,0.46470934,3.7520182,0.1935012
344629852562810880,UNCX,LLR,569.45386,48.408543,286.87436,21.194279,5.558975,61.09848,1.8861088,-512.36084,51.622913,488.08398,60.029793,8.457131,93.56627,1.7008526,14.753653,0.329169
344632326463973376,AGNX,LLR,25.272064,11.846152,28.536339,1.4236276,2.1832798,12.914109,0.8856219,-16.407648,10.394194,50.152378,30.094358,2.9323895,20.747818,0.8786336,1.6080804,0.0265776
344635075243042816,UNCX,LLR,69.24607,25.059788,70.016594,2.7467008,1.8883206,16.519415,1.0729395,-120.86433,21.76459,123.499695,21.076303,2.4925094,27.385927,0.8796644,9.688281,0.4225635
344642771824437248,UNCX,LLR,212.65298,32.189972,140.61455,11.175227,4.1571016,31.770985,1.2731247,-134.09296,30.102514,237.3483,59.39407,6.1142983,48.829205,1.617852,9.265412,0.1888908
344644421091878912,AGNX,LLR,43.77222,14.73966,28.864883,2.756279,1.7075349,9.20987,0.83789694,-24.691889,14.084636,50.953545,15.4705105,2.977355,14.951604,0.73037153,4.7387114,0.2568942
344674107905828864,AGNX,LLR,71.846016,33.85168,69.453545,0.5391793,2.085952,10.871085,0.93419665,-16.752438,23.312155,106.88407,19.39505,2.2248406,15.272822,0.8754467,7.7925253,0.1443801
344674657661642752,UNCX,ELR,11.865482,16.81497,31.553276,7.0831795,2.1270318,8.717625,0.8130261,62.32794,13.320348,57.364597,41.010284,2.5173185,14.811499,0.68809426,4.125257,0.1385493
