,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
972,UNCXY,sAGN,0.1678,10.31,23.638,24.538,24.888,38.163,46.238,54.713,0.792,0.877,0.962,9.012,0.12773813,0.013784744,-999.0,-999.0,-999.0
973,NOEL,LLR,0.2914,11.07,15.413,16.713,19.138,35.163,45.063,55.188,-0.853,-0.348,-0.018,9.627,0.0,0.018825643,-999.0,-999.0,-999.0
974,AGNXY,ELR,0.2267,10.28,16.613,19.663,23.038,34.538,44.988,55.113,-0.103,0.327,0.352,8.987,0.0015644245,0.017029867,-999.0,-999.0,-999.0
975,AGNXY,sAGN,0.2911,10.77,16.338,18.488,20.863,35.163,46.413,56.263,0.937,1.047,1.132,9.162,0.041624963,0.016678324,-999.0,-999.0,-999.0
976,NOEL,NER,0.2402,10.81,15.163,15.738,16.963,35.938,46.288,55.463,-0.293,-0.168,0.032,9.597,0.030301873,0.019983867,-999.0,-999.0,-999.0
977,SFXY,SF,0.225,10.33,16.963,19.913,22.913,32.263,38.688,53.863,0.772,0.857,0.857,9.507,0.019196741,0.015713869,-999.0,-999.0,-999.0
978,UNCXY,sAGN,0.2907,10.78,19.238,21.788,23.813,34.413,44.988,55.188,0.382,0.597,0.747,9.202,0.02377682,0.011845786,-999.0,-999.0,-999.0
979,AGNXY,sAGN,0.1369,10.94,21.388,23.538,24.588,34.413,44.913,55.538,-1.013,-0.333,-0.078,9.682,0.10163857,0.029055368,-999.0,-999.0,-999.0
980,SFX,UNC,0.2548,10.83,19.188,21.763,23.813,34.488,44.988,55.338,-0.348,0.172,0.472,9.437,0.029690286,0.014225178,-999.0,-999.0,-999.0
981,UNCXY,sAGN,0.3108,10.56,21.613,23.513,24.613,33.813,39.813,50.238,1.147,1.202,1.277,8.942,0.051462457,0.018383479,-999.0,-999.0,-999.0
982,SFXY,SF,0.3087,10.87,19.763,22.138,24.038,34.563,45.213,55.138,0.862,0.957,1.052,9.252,0.023690393,0.013520394,-999.0,-999.0,-999.0
983,SFXY,SF,0.0881,9.947,15.988,18.063,20.738,34.888,46.863,56.263,-0.623,-0.293,-0.173,9.357,0.0,0.022122838,-999.0,-999.0,-999.0
984,UNCX,NER,0.1989,10.87,15.313,16.288,18.138,35.588,45.788,55.688,-1.183,-0.553,-0.148,9.517,0.0,0.018328182,-999.0,-999.0,-999.0
985,NOEL,NER,0.2023,11.04,15.188,15.763,17.163,36.413,46.513,55.338,-1.503,-1.058,-0.753,9.827,0.0,0.017445952,-999.0,-999.0,-999.0
986,SFX,sAGN,0.1925,10.83,16.663,18.613,20.763,38.113,50.488,57.588,0.757,0.857,0.917,9.197,0.04436566,0.023420785,-999.0,-999.0,-999.0
987,SFX,sAGN,0.195,10.95,15.463,16.588,18.463,35.588,45.338,53.288,0.357,0.412,0.507,9.487,0.031505104,0.03142629,-999.0,-999.0,-999.0
988,SFX,UNC,0.2678,10.65,18.638,21.363,23.688,33.813,43.538,54.588,0.322,0.552,0.717,9.202,0.012491006,0.022086693,-999.0,-999.0,-999.0
989,UNCX,ELR,0.2101,11.0,15.088,15.288,15.463,35.838,45.288,55.013,-0.853,-0.238,0.047,9.672,0.038150173,0.014283638,-999.0,-999.0,-999.0
990,NOEL,NER,0.3183,11.02,15.213,15.863,17.088,35.438,44.313,54.688,-0.333,0.097,0.307,9.467,0.0,0.025529787,-999.0,-999.0,-999.0
991,UNCXY,sAGN,0.2859,10.67,18.088,20.738,23.238,33.663,43.138,54.538,0.367,0.547,0.702,9.382,0.024256924,0.016886692,-999.0,-999.0,-999.0
992,SFXY,SF,0.1293,9.862,17.238,19.813,22.438,34.288,42.563,51.613,0.172,0.247,0.332,9.122,0.05052105,0.017981818,-999.0,-999.0,-999.0
993,AGNXY,sAGN,0.2003,10.77,21.363,22.788,23.938,38.763,52.488,58.488,0.827,0.912,0.987,9.102,0.07335078,0.019985002,-999.0,-999.0,-999.0
994,NOEL,NER,0.2746,10.67,15.463,16.963,19.788,35.238,45.663,55.613,-0.708,-0.218,0.057,9.477,0.0,0.019038785,-999.0,-999.0,-999.0
995,UNCXY,sAGN,0.2614,10.47,15.513,17.088,20.213,33.338,43.238,54.813,0.672,0.742,0.812,9.212,0.0,0.022894483,-999.0,-999.0,-999.0
996,SFX,UNC,0.2447,10.73,20.963,23.163,24.488,34.813,44.663,54.413,0.257,0.422,0.537,9.472,0.030624865,0.009402198,-999.0,-999.0,-999.0
997,SFX,UNC,0.3175,10.79,15.488,16.688,18.813,34.838,46.713,55.888,0.767,0.872,0.972,9.292,0.014089602,0.02193224,-999.0,-999.0,-999.0
998,SFXY,UNC,0.1666,10.22,16.363,19.588,23.188,34.338,44.463,54.913,-0.408,-0.058,0.222,9.542,0.010182304,0.10276349,-999.0,-999.0,-999.0
999,SFX,sAGN,0.2766,11.07,20.588,23.013,24.413,35.213,45.338,55.013,0.697,0.797,0.912,9.457,0.05179363,0.023991393,-999.0,-999.0,-999.0
1000,SFX,UNC,0.1444,9.777,16.288,18.763,21.938,33.438,42.713,53.863,-0.178,-0.058,0.062,9.302,0.021989038,0.0152562335,-999.0,-999.0,-999.0
1001,UNCX,NER,0.2196,10.74,15.763,17.988,20.663,34.038,43.938,54.563,-1.743,-1.198,-0.818,9.622,0.012459229,0.025380287,-999.0,-999.0,-999.0
1002,NOEL,NER,0.2859,10.86,15.088,15.338,16.088,36.613,46.638,55.488,-0.493,-0.068,0.127,9.567,0.0,0.045865647,-999.0,-999.0,-999.0
1003,UNCXY,UNC,0.2943,10.74,16.763,19.863,23.138,34.563,44.438,54.538,0.327,0.717,0.952,9.187,0.08331275,0.026625073,-999.0,-999.0,-999.0
1004,AGNXY,UNC,0.3022,11.04,15.463,16.338,17.863,35.988,47.138,56.038,0.727,0.852,0.952,9.407,0.015466797,0.023909155,-999.0,-999.0,-999.0
1005,SFX,SF,0.1893,10.24,15.788,17.663,20.538,34.838,45.888,55.713,-1.023,-0.233,-0.048,9.197,0.0107407,0.015932767,-999.0,-999.0,-999.0
1006,SFX,UNC,0.3116,10.94,18.513,21.563,23.813,34.788,44.888,54.688,0.297,0.627,0.777,9.387,0.034705926,0.01487706,-999.0,-999.0,-999.0
1007,SFX,sAGN,0.31,10.83,21.763,23.513,24.538,34.738,43.713,53.788,0.852,0.957,1.072,9.267,0.011490323,0.05876545,-999.0,-999.0,-999.0
1008,UNCXY,sAGN,0.2654,10.46,22.813,23.963,24.738,39.763,50.113,57.288,1.312,1.362,1.462,8.697,0.11647329,0.014388385,-999.0,-999.0,-999.0
1009,SFXY,sAGN,0.295,10.56,21.213,23.138,24.438,34.063,43.213,53.713,0.912,0.997,1.062,9.087,0.03423692,0.011917633,-999.0,-999.0,-999.0
1010,AGNX,LLR,0.0354,10.37,16.313,19.388,22.913,35.313,45.863,55.838,-2.618,-2.438,-1.898,9.762,0.0,0.040005814,-999.0,-999.0,-999.0
1011,UNCX,ELR,0.0498,10.76,18.713,20.088,21.388,33.938,44.938,55.188,-0.708,-0.608,-0.363,9.512,0.14845198,0.04064722,-999.0,-999.0,-999.0
1012,SFXY,SF,0.0779,9.702,16.038,18.763,22.613,34.338,44.288,54.938,-0.688,-0.593,-0.468,9.517,0.0,0.029420128,-999.0,-999.0,-999.0
1013,SFX,sAGN,0.0807,10.2,17.888,20.013,22.038,33.763,41.888,50.988,0.247,0.372,0.442,8.997,0.15523784,0.036850564,-999.0,-999.0,-999.0
1014,UNCX,NER,0.2501,10.43,21.538,23.288,24.488,34.838,44.588,55.413,0.142,0.612,0.797,9.007,0.059884798,0.012533091,-999.0,-999.0,-999.0
1015,AGNXY,SF,0.2966,10.28,15.863,17.888,20.788,38.763,49.013,56.738,1.152,1.302,1.327,9.047,0.057625167,0.027991055,-999.0,-999.0,-999.0
1016,UNCXY,SF,0.3126,10.25,15.838,17.238,19.913,35.063,44.013,54.163,1.232,1.322,1.417,8.577,0.09112277,0.018664615,-999.0,-999.0,-999.0
1017,NOEL,NER,0.21,10.32,17.438,20.863,23.613,34.913,44.913,55.338,-0.793,-0.398,-0.078,9.457,0.043027367,0.017763846,-999.0,-999.0,-999.0
1018,SFX,ELR,0.1546,10.36,18.163,21.413,23.863,35.563,46.388,55.838,-1.308,-0.418,-0.238,9.412,0.015116815,0.0,-999.0,-999.0,-999.0
1019,UNCXY,SF,0.0985,9.127,15.163,15.463,16.413,34.788,47.288,55.513,-0.123,-0.023,0.107,8.817,-999.0,-999.0,-999.0,-999.0,-999.0
1020,NOEL,NER,0.1753,10.58,15.288,16.088,18.138,34.138,43.988,54.288,-1.823,-1.073,-0.648,9.482,-999.0,-999.0,-999.0,-999.0,-999.0
1021,NOEL,LLR,0.2007,11.17,15.638,17.463,20.363,35.188,45.163,55.313,-1.028,-0.698,-0.453,9.692,0.01198942,0.023275077,-999.0,-999.0,-999.0
1022,UNCX,NER,0.2,10.62,15.313,16.813,20.988,36.288,47.563,56.288,-1.628,-1.153,-0.868,9.657,0.033101674,0.020505946,-999.0,-999.0,-999.0
