SPECID_x,CATAID_1,SURVEY_x,Z,BPT,WHAN,OIIIR_FLUX_ERR,OIIIR_FLUX,SN_OIII
605808400957204480,299089,SDSS,0.08746235,UNCX,ELR,13.108525,-50.61715,-3.8613917279022623
635059536696207360,422389,SDSS,0.050901834,AGNX,LLR,17.16715,-47.576572,-2.7713727671745163
635069432300857344,517068,SDSS,0.13786027,AGNX,LLR,13.19447,-46.51737,-3.525520161097793
635070256934578176,422328,SDSS,0.15943235,NOEL,LLR,11.462737,-54.75006,-4.776351407172649
635082901318297600,422286,SDSS,0.049691718,SFGX,sAGN,21.386812,-58.724125,-2.7458101282229443
G09_Y1_AN1_079,214360,GAMA,0.14419238,NOEL,NER,20.940975,-50.71466,-2.421790771442113
G09_Y1_AN1_084,621988,GAMA,0.07792934,UNCX,ELR,26.25266,-189.66331,-7.224536865978533
G09_Y1_AN2_331,345576,GAMA,0.21129584,NOEL,LLR,6.3271375,-17.513086,-2.7679319439477963
G09_Y1_AS2_207,202398,GAMA,0.051217455,UNCX,ELR,19.02714,-39.374767,-2.0694001831068674
G09_Y1_AX1_129,386137,GAMA,0.11073971,UNCX,LLR,12.004698,-37.78357,-3.1473986267709524
G09_Y1_BN1_286,345734,GAMA,0.31487793,AGNX,LLR,4.4064765,-14.911434,-3.3839812830046863
G09_Y1_BN1_326,375877,GAMA,0.27952635,UNCX,NER,5.0880423,-13.588094,-2.67059375665961
G09_Y1_BS1_245,208859,GAMA,0.078307815,AGNX,LLR,25.80958,-65.13333,-2.5236106128034628
G09_Y1_CN1_081,622311,GAMA,0.19850215,NOEL,NER,9.090469,-38.25061,-4.20777079818434
G09_Y1_CS1_039,549771,GAMA,0.15876938,NOEL,NER,7.202135,-15.940075,-2.213243017521888
G09_Y1_CS1_121,3624458,GAMA,0.26327384,NOEL,NER,3.3304348,-20.403307,-6.1263193022124325
G09_Y1_CX2_138,386594,GAMA,0.19573657,NOEL,NER,6.5593767,-15.690184,-2.3920236201711056
G09_Y1_DN1_338,323984,GAMA,0.15820985,AGNX,LLR,4.990154,-20.352049,-4.078441066147457
G09_Y1_DS1_035,550101,GAMA,0.26884338,NOEL,LLR,5.2120104,-10.949039,-2.1007323776637135
G09_Y1_DS1_124,549941,GAMA,0.24385235,NOEL,NER,3.3835495,-7.540182,-2.2284828402835544
G09_Y1_DS1_144,3625565,GAMA,0.2573029,NOEL,LLR,4.1896367,-20.067453,-4.7897835628564165
G09_Y1_DS2_030,197160,GAMA,0.116328225,AGNX,LLR,13.567127,-31.139782,-2.2952377463555846
G09_Y1_DS2_169,196901,GAMA,0.23395436,NOEL,NER,3.7450745,-14.351066,-3.8319841167378645
G09_Y1_EN1_027,372346,GAMA,0.19844943,NOEL,NER,6.227496,-14.579138,-2.3410915077263796
G09_Y1_EN1_038,279114,GAMA,0.19871944,NOEL,NER,5.076519,-15.63229,-3.0793325111163767
G09_Y1_EN1_042,279084,GAMA,0.28645307,UNCX,NER,3.122366,-7.9706154,-2.552748588730469
G09_Y1_ES1_025,203841,GAMA,0.3192849,NOEL,NER,5.2267118,-14.368759,-2.7491010696246923
G09_Y1_ES1_325,574283,GAMA,0.22278087,SFGX,SFG,3.619142,-9.643151,-2.6644853946045775
G09_Y1_ES2_061,3628218,GAMA,0.08919674,SFGX,ELR,19.683374,-120.18044,-6.1056828976576885
G09_Y1_ES2_132,3627201,GAMA,0.070975795,AGNX,LLR,7.5196495,-130.69254,-17.380137199213873
G09_Y1_FN2_298,324498,GAMA,0.18057375,UNCX,NER,6.1233144,-21.844679,-3.567459969065119
G09_Y1_FS1_135,197613,GAMA,0.19794777,UNCX,ELR,5.308603,-11.979122,-2.256548850987727
G09_Y1_FS2_079,197703,GAMA,0.3011371,UNCX,LLR,2.6296384,-11.978973,-4.5553689054738475
G09_Y1_FS2_177,203907,GAMA,0.22649324,SFGX,sAGN,3.6004348,-7.63277,-2.1199578450913763
G09_Y1_FS2_240,209957,GAMA,0.14966927,SFGX,UNC,5.2313595,-12.917271,-2.4691996411257913
G09_Y1_FX2_047,347437,GAMA,0.26032072,UNCX,ELR,4.922474,-11.014121,-2.237517354078457
G09_Y1_FX2_172,347169,GAMA,0.24578957,UNCX,ELR,9.4683075,-23.330517,-2.464064142403487
G09_Y1_FX2_266,518655,GAMA,0.21439707,NOEL,LLR,11.834448,-39.264843,-3.317843214994058
G09_Y1_GN1_129,372777,GAMA,0.19048789,SFGX,UNC,5.015731,-12.691052,-2.5302497283048075
G09_Y1_GN2_303,382597,GAMA,0.18262337,UNCX,NER,11.699127,-24.755577,-2.1160191696354778
G09_Y1_GN2_308,377422,GAMA,0.31334037,NOEL,LLR,6.3865604,-23.030302,-3.606057182204055
G09_Y1_GS1_316,210329,GAMA,0.28542057,UNCX,LLR,4.9036117,-13.521376,-2.7574320372879444
G09_Y1_GS2_204,204209,GAMA,0.20449117,NOEL,NER,8.04759,-31.683739,-3.937046867447273
G09_Y1_GS2_267,600790,GAMA,0.29339567,AGNX,LLR,8.86305,-20.936653,-2.362240199479863
G09_Y1_GS2_285,600829,GAMA,0.19799083,UNCX,ELR,5.7808743,-27.97681,-4.839546502507415
G09_Y1_HN2_224,302544,GAMA,0.19333352,AGNX,LLR,5.827622,-14.335948,-2.4599996362152523
G09_Y1_HS2_069,3634556,GAMA,0.0702841,AGNX,LLR,17.311325,-217.79971,-12.581342560433704
G09_Y1_HS2_306,575238,GAMA,0.22199176,UNCX,LLR,5.7479863,-26.506067,-4.6113657229837175
G09_Y1_IN1_004,280038,GAMA,0.13897325,AGNX,LLR,8.253164,-18.366354,-2.2253712636753615
G09_Y1_IS1_191,204909,GAMA,0.2148551,NOEL,NER,3.6640704,-15.165918,-4.139090231454068
G09_Y1_IS1_319,205029,GAMA,0.18209389,NOEL,LLR,7.071897,-35.196785,-4.976993443202015
G09_Y1_test_080,214356,GAMA,0.07777377,UNCX,ELR,24.695154,-79.097115,-3.202940746998379
G09_Y2_014_232,549388,GAMA,0.15286443,NOEL,NER,8.519339,-36.87006,-4.327807591645314
G09_Y2_015_013,383015,GAMA,0.20152712,NOEL,NER,15.898964,-31.925655,-2.00803366810567
G09_Y2_015_359,514143,GAMA,0.16671576,UNCX,LLR,10.8271,-29.486227,-2.7233725559013955
G09_Y2_029_009,622067,GAMA,0.20239848,NOEL,NER,5.6402955,-19.412302,-3.4417171937179534
