SPECID,CATAID_x,Z_x,BPT,WHAN,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84,CATAID_y,HA_REDCHI_EMB,HA_FITFAIL_x,HA_CEN_x,SIG_HA_N,SIG_HA_N_ERR,HA_N_FLUX,HA_N_FLUX_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,CATAID,Z_y,HA_REDCHI_EM,HA_FITFAIL_y,HA_CEN_y,SIG_HA,SIG_HA_ERR,VEL_B,VEL_B_ERR
G15_Y2_004_142,509592,0.30835074,AGNXY,sAGN,10.6,10.68,10.87,509592.0,0.62345886,0.0,8586.444049199896,6.031688,0.39140102,97.84032,10.57433,42.551464,5.4735637,181.96646,45.631115,509592.0,0.30835074,0.80098695,0.0,8586.444049199896,6.150805,0.3131907,3.1719218653531893,2.2812775352646373
G15_Y2_019_117,618341,0.12702745,AGNXY,sAGN,10.13,10.18,10.26,618341.0,0.740227,0.0,7396.455511079027,2.3497746,0.050702017,320.96622,9.1094265,42.518295,8.418999,149.47803,40.37885,618341.0,0.12702745,0.83933014,0.0,7396.455511079027,2.4200966,0.0479981,3.2363728943944934,2.533057511504388
G15_Y2_021_201,511949,0.20707396,AGNXY,sAGN,10.45,10.56,10.66,511949.0,0.605161,0.0,7921.784725528365,2.3947833,0.033608258,569.5992,11.476692,39.964928,7.2431855,162.09811,42.179085,511949.0,0.20707396,0.706053,0.0,7921.784725528365,2.4469514,0.031399656,3.1796767015408034,2.4379272743961944
G15_Y3_014_304,238649,0.28048635,UNCXY,sAGN,10.18,10.23,10.32,238649.0,0.6960506,0.0,8403.57556810698,2.4717493,0.05949015,390.8556,12.178168,18.680468,3.269387,95.82484,25.182222,238649.0,0.28048635,0.7740799,0.0,8403.57556810698,2.6130993,0.052910157,2.823744345533005,2.0668229245784864
G15_Y3_018_010,49516,0.24978136,UNCXY,sAGN,10.46,10.58,10.71,49516.0,0.566445,0.0,8202.064823304107,3.679925,0.2563217,54.956787,4.9096084,52.2164,10.259133,117.48987,29.962206,49516.0,0.24978136,0.6681899,0.0,8202.064823304107,4.1274104,0.21645947,3.2807044321897805,2.57400816567881
G15_Y3_026_332,78879,0.13191599,UNCXY,sAGN,10.13,10.24,10.38,78879.0,0.53960097,0.0,7428.538036688679,2.5368276,0.21008171,275.10278,30.186369,28.504694,7.993306,304.6604,125.909485,78879.0,0.13191599,0.57087666,0.0,7428.538036688679,2.8467755,0.17762262,3.060833734673787,2.5086437904556056
G15_Y3_032_092,593449,0.29268712,SFGXY,SFG,10.65,10.66,10.66,593449.0,0.8462594,0.0,8483.6467895205,5.062577,0.21411048,150.11621,8.06688,21.06142,0.40523323,561.3216,20.702112,593449.0,0.29268712,1.2088993,0.0,8483.6467895205,7.7519283,0.13029537,2.8717257730187726,1.1559431754766112
G15_Y3_037_368,238376,0.30199695,UNCXY,UNC,10.58,10.58,10.59,238376.0,0.6371323,0.0,8544.745263607858,3.1880236,0.09509231,424.75662,16.34308,22.784643,6.9324565,89.13259,39.61135,238376.0,0.30199695,0.6599515,0.0,8544.745263607858,3.3273392,0.0816809,2.9027638111391214,2.386008736021494
G15_Y4_206_141,715463,0.24355794,SFGXY,SFG,10.24,10.36,10.47,715463.0,0.43794826,0.0,8161.221810264757,4.0976086,0.34856397,150.71193,16.746439,32.89995,8.032528,155.06664,56.215225,715463.0,0.24355794,0.46807116,0.0,8161.221810264757,4.8064117,0.29910237,3.0822607593399898,2.46991776951399
G15_Y4_217_134,250955,0.3138712,SFGX,sAGN,10.8,10.93,11.03,250955.0,0.59316325,0.0,8622.673646436877,2.3955872,0.14324221,59.9511,4.8072386,38.248634,9.701024,46.51524,16.190763,250955.0,0.3138712,0.64158326,0.0,8622.673646436877,2.5284169,0.13736175,3.1237946833317767,2.5279963328417843
G15_Y5_029_255,748809,0.27886024,UNCXY,sAGN,10.57,10.57,10.71,748809.0,0.6720913,0.0,8392.903753446704,3.655248,0.18210521,48.951794,3.0865362,28.465664,0.54547775,283.1484,10.763911,748809.0,0.27886024,1.4461302,0.0,8392.903753446704,5.0521116,0.15705414,3.0072297788765123,1.2896855005498573
G15_Y6_101_329,64666,0.13790731,UNCXY,sAGN,10.16,10.26,10.28,64666.0,0.5840435,0.0,7467.857862380805,2.5903006,0.030604022,675.59766,10.947431,19.145027,3.6339843,89.531044,25.893877,64666.0,0.13790731,0.6520035,0.0,7467.857862380805,2.658921,0.026469534,2.8856806427728507,2.1640077062904086
